"18838","中国船舶重工集团公司北京长城无线电厂","5020","CSIC-Beijing Great Wall Radio Factory","No.30 Xueyuan Road(s),Haidian District,Beijing,China","北京市海淀区学院南路30号","www.bgwr.com.cn","5201","电子及声学测量仪器，电控及通信设备，汽车收音机，水声工程等。","100088","bgwr@china.com","010-62253344","010-62250376"
"20808","中国航海学会","5231","China Instih}te of Navigation","No.11 Jianguomennei Ave.，Beijing, China","北京市建国门内大街11号","","","学术交流、书刊编辑、国际合作、业务培训、科普教育、咨询服务。","100736","b25@cast.org.cn","010一65293151","010一65261148"
"20809","中国机电产品进出口商会","5231","China Chamber of Commerce for Import&Export of Mch","9/F, Building  12, Panjiayuan Nanli,Chaoyang District,Beijing,China","北京市朝阳区潘家园南里12号楼9楼(潘家园办公区）","www.cccme.org.cn","","","100021","international@cccmc.org.cn","010一67092712","010一67092613"
"20810","中国机电产品进出口商会船舶分会","5231","China Chamber of Commerce for Import&Export of Mac","14/F, North Office Tower Center, No. 3B Chongwenmenwai Ave.,Beijing,China","北京市崇文门外大街3B号新世界中心北办公楼14层","www.cccmc.org.cn","","","100062","ship@cccme.org.cn","010一67092681","010一67092682"
"20811","中国集装箱工业协会","5231","China Container Industry Association","Rm.711A,Block A,Century Square,No.99 Wangfujing Avenue,Beijing,China","北京市王府井大街99号世纪大厦A座711A室","www.chinaccia.com","","","100006","ccia@ccs.org.cn","010一65253543","010一65253543"
"20812","大连红珊瑚船用电机有限公司","5231","DALIAN RED CORAL BUNKER MARINE ELECTROMOTOR CO.,LT","DAXINZHAIZI TOWN,GANJINGZI DISTRICT","甘井子区大辛寨子镇","www.e-hsh.com","","生产船用电机。","116033","dlhsh@e-hsh.com","0411-86956396","0411-86308129"
"20813","中国交通报刊协会","5231","China Transport Press Association","No. 13  Building, aid  Section, Anhuali(W) , Andingmenwai, Beijing, China","北京市安定门外安华西里三区13号楼","","","","100011","","010一65293640",""
"20814","中国交通企业管理协会","5231","China Association of Communications Enterprises Ma","No. 11 Jianguomennei Ave. ,Beijing, China","北京市建国门内大街11号","www.zjqx.oorg.cn","","","100736","","010一65293054","010一65293071"
"20815","中国交通运输协会","5231","China Communications&Transportation Association","7/F  Block  B, Information Technology Mansion,No.315 Guang'anmennri Xuanwu District,Beijing,China","北京市宣武区广安门大街315号信息大厦B座7楼","www.cctanet.org.cn","","","100053","ccta@snet.com.cn,caorui0616@sina.com","010一58678930","010一58678911"
"20816","中国劳动保护科学技术学会","5231","China Society of Science&Technology of Labor Prote","No. 21 Hepingli Street( N )，Beijing, China","北京市和平里北街21号","","","","100713","","010一64463210","010一64463609"
"20817","中国疏浚协会","5231","China Dredging Association","No. 9  Chunxiu  Road, Dongzhimenwai,Dongcheng District,Beijing,China","北京市东城区东直门外春秀路9号","www.chida.org","","中国疏浚协会致力于中国疏浚业的发展，发挥政府与企业之间的桥梁作用维护会员的合法权益。本协会以促进与疏浚有关领域内知识的交流，促进与世界相关类型组织间的联系促进中国疏浚业的技术水平和经营管理水平的提高哦为宗旨。","100027","public@chida.org","010一64174496","010一64159215"
"20818","中国水产学会","5231","China Society of Fisheries","No.22 Building,thlaizhlixn Street,Chaoyang District,Beijing,China","北京市朝阳区麦子店街22号楼","","","","100026","cnscfish@public.bta.net.cn","010一64194233","010一64194231"
"20819","中国水上消防协会","5231","China Marine Fire Control Association","No.11 Jianguomennei Ave，Beijing, China","北京市建国门内大街11号","","","","100736","","010一65293071",""
"20820","中国水运建设行业协会","5231","China Water Transportation Construction Associatio","Rm. M805 Jingbao Carden, No. 133 Andingmenwai Ave.,Beijing,China","北京市安定门外大街183号京宝花园M805室","www.cwtca.org.cn","","","100011","cwtca@sina.com","010一64401690","010一64400454"
"20821","中国太平洋学会","5231","Pacific Seminar of China","No. 8 Dahuisi, Haidian District,Beijing,China","北京市海淀区大慧寺8号","www.psc.org.cn","","","100081","coutact@paciforum.org","010一62173322",""
"20822","中国涂料工业协会","5231","China National Coatings Industrial Association","No. 1一1st Zone, Middle Street Liupukang,Beijing,China","北京市六铺炕一区中街一号","www.chinacoatingnet.com","","市场调查、信息发布、制订规划，加强行业自律，维护公平竞争，开展国内外经济技术交流与合作，组织展览会、技术交流会，创办刊物，组织培训，维护会员权益，向政府提出意见和建议。","100011","paint@chinacoatingnet.com","010一62004186","010一62376233"
"20823","大连洪晓合木材有限公司","5231","DALIAN HONGXIAO SYNTHETIC WOOD CO.,LTD","NO.258 WUYI ROAD,SHAHEKOU DISTRICT","沙河口五一路258号","","","生产可用于各类船舶及大型建筑物内外装修的合成木材。","116023","","0411-84963498","0411-84693468"
"20824","中国渔船船东互保协会","5231","China Fishery Shipowners Mutual Insurance Associat","No. B11 Luotuowun, Fenglai Dislricl, Beijing, China","北京市丰台区骆驼湾乙11号","www.cfpi.org.cn","","行业管理、业务培训、国际合作、咨询服务。","100073","webmaster@cfpi.org.cn","010一63452339","010一63262788"
"20825","中国渔船渔机行业协会","5231","The China Association For Fishing Vessels and Fish","No.22 Building,Mairidian Street, Chaoyang District,Beijing,China","北京市朝阳区麦子店街22号楼","www.yuchuan.org","","渔业船舶方面;渔业机械方面；绳网渔具方面;渔船、渔机、渔具行业，国家、部级质量监督检验、检测等。","100026","chinaycj@agri.gov.cn","010一84567905","010一64333249"
"20826","中国造船工程学会","5034","Chinese Society of Naval Architects&Marine Enginee","No.5 Yuetan Beijie,Beijing,China","北京市月坛北街5号","www.csname.org.cn","5213","组织开展学术交流活动;开展科技咨询，提出咨询建议和提供技术服务;受托进的科技项目论证和成果鉴定;普及船舶科技知识;推广先进生产技术和科学管理经验;开展继续教育;出版相关技术杂志和刊物。","100861","csname@csname.org.cn","010一68016801","010一68031560"
"20827","北京市造船工程学会","5231","Beijing Society of Naval Architects& Marine Engine","No.A2 Shuangquanpu,Deshengmenwai,Beijing,China","北京市德胜门外双泉堡甲2号","","","组织开展学术交流活动;开展科技咨询，提出咨询建议和提供技术服务;受托进行科技项日沦证和成果鉴定;普及船舶科技知识;推广先进生产技术和科学管理经验;开展继续教育;出版相关技术杂志和刊物。","100085","shipol@shipol.com.cn","010一64872211一2460","010-64876316"
"20828","海峡两岸航运交流协会","5231","Cross一Straits Shipping Association","No.11 Jianguomennei Ave. , Beijing, China","北京市建国门内大街11号","","","","100736","","010一65293027",""
"20829","中国造船工程学会上海学术活动中心","5231","Shanghai Science Activities Centre of Chinese Soci","No.185 Gaoxiong Koad,Shanghai,China","上海市高雄路185号","","","","200011","","021一63762172","021一63775017"
"20830","上海船舶工业行业协会","5034","Shanghai Association of Shipbuilding Industry","Rm. 803, No. 3255 Zhoqjiazni  Road,Shanghai , China ","上海市周家嘴路3255号803室","www.chinaboatshow.com","5205","","200093","csasi@online.sh.cn","021一65195375","021一65937470"
"20831","上海起重运输机械行业协会","5034","Shanghai Crane Transportation Mechanic Association","Rm. 1303, No.595 Wuding Road , Shanghai. China","上海市武定路595号1303室","","5205","统计调研，技术培训，会展招商，产品推介，技术咨询服务等。","200040","","021一32181230","021一62560207"
"20832","上海市国际货运代理行业协会","5034","Shanghai International Freight For-","17/F - Block B Mingdao Mansion,No.8 Ganhe Road,Shanghai,China","上海市甘河路8号明道大厦17楼B座","www.siffa.org","5205","","200437","siffa@online.sh.cn","021一65600861","021一65602133"
"20833","上海市造船工程学会-","5231","Shanghai Society of Naval Architects&Marine Engine","Rm.6322 Jinjiang Hotel,No.59 Maoming Road(S),Shanghai,China","上海茂名南路59号锦江饭店6322室","www.ssname.com.cn","","船舶与海洋工程记起设备的交流和展示、科学普及、编辑出版和咨询。","200020","ssname@ssname.com.cn","021-64730107","021-64721270"
"20834","大连宏远气动液压船舶辅机有限公司","5231","DALIAN HONGYUAN PNEUMATIC & HYDRAULIC MARINE AUXIL","MIAOSHAN VILLAGE,PULANDIAN","普兰店庙山村","","","船舶辅机，气动主件，液压缸，液压货船，钢结构，电气开关，机械零部件的制造，铸造业。","116200","","0411-83141079","0411-83141216"
"20835","上海太平洋区域经济发展研究会","5231","Economic Development Research Institute for the Pa","No.200 Renmin Ave.,Shanghai,China","上海市人民大道200号","","","","200003","","021-63119834","021-63216751"
"20836","天津市船东协会","5034","Tianjin Shipowners'Association","Rm.2316,Block A Yuanyang Square,Hebei District,Tianjin,China","天津市河北区远洋大厦A 座 2316室","","5214","为船公司提供咨询、服务、协调船东之间业务往来。","300010","yangyj-tsa@cosbulk.com","022 -24205520","022一24205521"
"20837","天津市造船工程学会","5231","Tianjin Society of Naval Architects&Marine Enginee","No.74 Dongtoing Road,TEDA,Tianjin,China","天津经济技术开发区洞庭路74号","","","组织开展学术交流活动;开展科技咨询，提出咨询建议和提供技术服务;受托进行科技项目论证和成果鉴定;普及船舶科技知识;推广先进生产技术和科学管理经验;开展继续教育;出版相关技术杂志和刊物。","300457","lsrc@starinfo.net.cn","022-25329390","022-25321838"
"20838","中国船舶工业行业协会重庆联络组","5231","Chongqing Liaison Office of China Shipbuilding Ind","Nanqiaosi,Jiangbei District,Chongqing,China","重庆市江北区南桥寺","","","开展行业管理、协商、咨询服务，组织项目论证，推广先进技术和科学管理。","400021","","023一67669009","023一67669010"
"20839","重庆船舶工业行业协会","5231","Chongqing Shipbuilding Industry Association","No.21 Jianxin Road(E),Jiangbei District,Chongqing,China","重庆市江北区建新东路21号","","","","400020","","023-67854275",""
"20840","重庆市造船工程学会","5034","Chongqing Society of Naval Architects&Marine Engin","Nanqiaosi,Jiangbei District,Chongqing,China","重庆江北区南桥寺","","5227","组织开展学术交流活动;开展科技咨询，提出咨询建议和提供技术服务;受托进行科技项目论证和成果鉴定;普及船舶科技知识;推广先进生产技术和科学管理经验;开展继续教育;出版相关技术杂志和刊物。","400021","cpx@csname.org.cn","023-67669013","023-67669010"
"20841","黑龙江船舶工业行业协会","5231","Heilongjiang Association of Shipbuilding Industry","No.41 Building,Wenmiao Street,Nangang District,Harbin Heilongjiang,China","黑龙江省哈尔滨市南岗区文庙街41号楼","","","","150001","","0451-82519534",""
"20842","黑龙江省造船工程学会","5231","Heilongjiang Society of Naval Architects&Marine En","New 1 Building,No.145,Nantong Ave.,Nangang District,Harbin,Heilongjiang,China","黑龙江省哈尔滨市南岗区南通大街145号新1号楼","www.hrbeu.edu.cn","","组织开展学术交流活动;开展科技咨询，提出咨询建议和提供技术服务;受托进行科技项目论证和成果鉴定;普及船舶科技知识;推广先进生产技术和科学管理经验;开展继续教育;出版相关技术杂志和刊物。","150001","heukjc@hrbeu.edu.cn","0451一82519745","0451一82531768"
"20843","辽宁省船舶工业行业协会","5231","Liaoning Association of Shipbuilding Industry","No. 16 Zhuqing Street, Dalian,Liaoning,China","辽宁省大连市中山区竹青街16号","","","开展行业基础调查，组织和参加制定行业政策、行业规划、行业标准、推动横向联合，协调企业之间生产经营、技术合作。开展咨询服务工作。","116001","","0411一82639642","0411一82804594"
"20844","辽宁省造船工程学会","5231","Liaoning Society of Naval Architects&Marine Engine","No. 16 Zhuqing Street, Dalian, Liaoning,China","辽宁省大连市中山区竹青街16号","","","组织开展学术交流活动;开展科技咨询，提出咨询建议和提供技术服务;受托进行科技项目论证和成果鉴定;普及船舶科技知识;推广先进生产技术和科学管理经验;出版相关技术杂志和刊物。","116001","zcxh@lnsname.com","0411一52644070","0411一52639644"
"20845","大连机车车辆有限公司","5231","DALIAN LOCOMTIVE AND ROLLING STOCK CO.,LTD","NO.51 ZHONGCHANG STREET,SHAHEKOU DISTRICT","沙河口区中长街51号","www.dloco.com","","船用大功率柴油机。DL240系列柴油机、DL280系列柴油机。","116022","dlwfao@mau.dlptt.ln.cn","0411-84197746","0411-84197726"
"20846","青岛船东协会","5231","Shipowners Association of Qingdao","17/F Penavico Building,No.21Wuxia Road,Qingdao,Shandong,China","山东省青岛市巫峡路21号外代大楼17层","","","","266002","","0532一82678962","0532一82678962"
"20847","山东省船舶工业行业协会","5231","Shandong Provincial  Association of Shipbuilding I","No.43 Jingshiyi Road, Jinan, Shandong,China","山东省济南市经十一路43号","","","","250002","dongwz@sohu.com.cn","0531一82051371","0531一82063748"
"20848","山东省造船工程学会","5231","Shandong Society of Naval Architects &Marine Engin","No.129   Aomen  Road, Shinan District，Qingdao,Shandong,China","山东省青岛市市南区澳门路729号","","","组织开展学术交流活动;开展科技咨询，提出咨询建议和提供技术服务;受托进行科技项目论证和成果鉴定;普及船舶科技知识;推广先进生产技术和科学管理经验;开展继续教育;出版相关技术杂志和刊物。","266071","qd@csname.org.cn","0532一85933495","0532一82680665"
"20849","江苏船舶工业行业协会","5231","Jiangsu Association of the Shippbuilding Industry","Rm. 410  Keji  Building,No. 2  Mengxi Road,Zhenjieng, Jiangsu , China","江苏省镇江市梦溪路2号科技楼410室","","","","212003","13338810942@165.com","0511一84405976","0511一84446397"
"20850","江苏船东协会","5231","Jiangsu Shipowner Association","No.16 Shangzhou Road, Baixia, Nanjing,Jiangsu , China","江苏省南京市白下区升州路16号","","","制定行规行约，开展咨询服务。","210001","","025一86625495",""
"20851","江苏省造船工程学会","5034","Jiangsu Society of Naval Architects&Marine Enginee","Rm. 2201  Communication Building, No.69 Shigu Boad,Nanjing,China","江苏省南京市石鼓路69号交通大厦2201室","","5201","组织开展学术交流活动;开展科技咨询，提出咨询建议和提供技术服务;受托进行科技项目论证和成果鉴定;普及船舶科技知识;推广先进生产技术和科学管理经验;开展继续教育;出版相关技术杂志和刊物。","210004","jszcxlun@yahoo.com.cn","025一84467149","025一84467149"
"20852","南通市船舶工业行业协会","5231","Nantong Shipbuilding Industry Association","No. 66 Haierxiang Road(S)，Nantong,Jiangsu,China","江苏省南通市孩儿巷南路66号","","","","210004","","0513一85106377","0513一85106377"
"20853","安徽船舶工业行业协会","5231","Anhui Shipbuilding Industry Association","No. 1157 Changjiang Road(E)，Hefei,Anhui,China","安徽省合肥市长江东路1157号","","","","230011","","0551一4296021",""
"20854","安徽省造船工程学会","5231","Anhui Society of Naval Architects&Marine Engineers","No.273 Meiling Ave.，llefei, Anhui, China","安徽省合肥市美菱大道273号","","","开展学术交流活动，进行科技咨询，提出咨询建议和提供技术服务，受委托进行科技项目论证和科技成果鉴定普及船舶科学技术知识，推广先进生产技术和科学管理经聆开展继纷教育等。","230022","ahx@csname.org.cn","0551一4671446","0551一4654700"
"20855","乐清市船舶工业行业协会","5231","Yueqing City Shipbuilding Industry Association","No.10 Madaotou(E),Qiligang,Yueqing,Zhejiang,China","浙江省乐清市七里港马道头东10号","","","","325605","","0577一62677577","0577一62671151"
"20856","海事合作伙伴有限公司","5231","Marine Partner Co.,Ltd","Rm.1601,No.4,760 Lane Boxing Road,Pudong,Shanghai,China","上海市浦东博兴路760弄4号1601室","www.marine-partner.com","","增压器配件和维修，柴油机配件，提供进口船用配件。","200129","service@marine-partner.com","021-50265501","021-68536762"
"20857","大连江北船舶电器有限公司","5020","DALIAN JIANGBEI MARINE ELECTRIC CO.,LTD","NO.885 YINGCHUN STREET,LVSHUNKOU DISTRICT","旅顺口区迎春街885号","","5228","船用电器产品：船用变压器、配电柜（箱）等。","116041","zyxsj@sina.com","0411-86612188","0411-86610272"
"20858","浙江船舶工业行业协会","5034","Zhejiang Shipbuilding Industry Association","No. 9 Gaoguan Lame, Daxue Road, Hangzhou , Zhejiang , China","浙扛省杭州市大学路高官弄9号","","5203","","310009","","0571-87046763",""
"20859","浙江省造船工程学会","5034","Zhejiang Society of Naval Architects&Marine Engine","Rm.808 8/F,No.379 Tiyuchang Road Hangzhou,Zheiang,China","浙江省杭州市体育场路379号8楼808室","","5203","学术交流、科普(培训)活动、科技咨询、行业管理及中介服务工作。","310006","zjship163@yahoo.com.cn","0571一56363771","0571一56363771"
"20860","江西船舶工业行业协会","5034","Jianxi Shipbuilding Industry Association","No.120 Gantang Boad(S),Jiujiang,Jiangxi , China","江西省九江市甘棠南路120号","","5212","对造船企业、船舶配套设备企业、船用物资企业、船舶检验机构进行行业管理咨询服务，信息交流，技术、经济合作与交流。","332000","","0792一8218746","0792一8218450"
"20861","江西省造船工程学会","5034","Jiangxi Society of Naval Architects&Marine Enginee","No.120 Gantang Road(S),Jiujiang,Jiangxi,China","江西省九江市甘棠南路i2o号","","5212","学术交流，技术合作、咨询，科学普及，编辑刊物。","332000","jxx@csname.org.cn","0792一8218746","0792一8218450"
"20862","福建船舶工业行业协会","5034","Fujian Shipbuilding Industry Association","No. 27 Qnnzhong Road, Fuzhou,Fujian,China","福建省福州市群众路27号","","5204","","350004","","0591一83333969",""
"20863","福建省航海学会","5034","Fujian Navigation Institute","No.151 Zhongping Road,Fuzhou,Fujian,China","福建省福州市中平路151号","","5204","学术交流、发行科技书籍、航海科技咨询、磁罗经校正。","350009","","0591一83258090",""
"20864","福建省造船工程学会","5034","Fujian Society of Naval Architects&Marine Engineer","6/F Gaoqiao Building, No.36 Wuyi Road(M) ,Fuzhou,Fujian,China","福建省福州市五一中路36号高桥大厦6楼","","5204","开展各种形式的学术交流活动，推广新技术、新产品，进行科技项目论证，科技成果鉴定，开展技术咨询。","350005","fjx@csname.org.cn","0591一83358084","0591一83312383"
"20865","厦门市船东协会","5034","Shipowners Associaton of Xiamen","4/F. Transpori Building, No. 149 Siming Road(N) , Xiamen , Fujian , China","福建省厦门市思明北路149号交通大厦四楼","","5204","","361004","","0592一2987651","0592-2017651"
"20866","湖北船舶工业行业协会","5034","Hubei Shipbuilding Industry Association","No.250 Jianghan Road, Wuhan. Huhei,China","湖北省武汉市汀汉路250号","","5209","","430013","","027一82816151",""
"20867","武汉造船工程学会","5034","Wuhan Society of Naval Architects&Marine Engineers","No. 250 Jianghan Roatl, Wuhan,Hubei,China","湖北省武汉市江汉路250号","","5209","根据国民经济和国防建设的需要开展国内外学术交流活动，普及船舶及海洋工程科学技术知识，开展科技咨询服务，推广新工艺、新技术，编辑出版发行学术书刊和编审科技文献资料。","430013","whx@csname.org.cn","027一82754840","027一82836297"
"20868","大连金船空调风机有限公司","5020","DALIAN JINCHUAN AIR-CONDITIONER FAN CO.,LTD","NO.152 GUOFANG ROAD,JINZHOU  DISTRICT","金州区国防路152号","","5228","船用辅助鼓风机，船用排气阀研磨机，船用翻转工具，船用操纵台。","116100","","0411-87692850","0411-87692853"
"20869","广东船舶工业行业协会","5034","Guangdong Shipbuilding Industry Association","No.60 Guangda Road,Guangzhou,Guangdong,China","广东省广州市广大路60号","","5206","","510030","","020一25329390",""
"20870","广东省船东协会","5034","Shipowners Association Gnangdong","No. 27 Baiyun Road,Guangzhou,Guangdong,China","广东省广州市白云路27号","","5206","","510220","","020一83730169","020一83730034"
"20871","广东造船工程学会","5034","Guangdong Society of Naval Architects&Marine Engin","No.67 Panfu Road,Guangzhou,Guangdong,China","广东省广州市盘福路67号","","5206","学术交流，科技咨询,培训，编辑出版，受托进行科技成果鉴定，科技论证等。","510180","gdsnamex@yahoo.com.cn","020一81363637","020一81360517"
"20872","广州市帆船协会","5034","Guangzhou Yachting Association","No.549,Binjiang Road(E),Guangzhou,Guangdong,China","广东省广州市滨江东路549号","","5206","宣传帆船活动、举办帆船运动的培训班、学术讨论会、报告会、讲座、承担帆船竟赛、负责帆船运动等级裁判员的中请、评议工作。","510260","","020-34286352",""
"20873","江门市造船工程学会","5034","Jiangmen Society of Naval Architects&Marine Engine","No.129 Wenchangsha，Jiangmen,Guangdong,China","广东省江门市文昌沙129号","","5206","船舶设计制造技术咨询，船舶性能测试，技术培训。","529000","","0750一3329088",""
"20874","汕头市造船工程学会","5034","Shantou Society of 1Sava1 Architects &Marine Engin","No. 31 , Yeyuan，Changping Road, Shantou,Guungdong,China","广东省汕头市长平路椰园31幢","","5206","造船产品开发，技术培训，咨询服务。","515041","","0754一8231006",""
"20875","湛江市航海学会","5034","Zhanjiang Institute of Navagation","Rm.1001,Zhanjiang Maritime Safety Administration Office Building,Zhanjiang,Guangdong,China","广东省广州市人民东一路12一号湛江海事局大楼1001室","","5206","海洋船舶驾驶，轮机，机电，导航与通讯。","524001","","0759-2236107",""
"20876","湛江造船工程学会","5034","Zhanjiang Society of Naval Architects&Marine Engin","No.26，Haibin Ave. , Zhanjiang, Guangdong,China","广东省湛江市海滨大道中26号","","5206","造船，修船，用船，学术研究与交流，咨询服务，专业培训，新产品推广。","524025","","0759一3187259",""
"20877","深圳造船工程学会","5034","Shenzhen Society of Naval Architects&Marine Engine","Yugang Dock,Shekou, Shenzhen, Guangdong,China","广东省深圳市蛇日渔港码头","www.hsbpowerboats.com","5206","组织学术交流，提供技术咨询。","518067","hsbhzh@yahoo.com.cn","0755一26827875","0755一26675909"
"20878","广西船舶工业行业协会","5034","Guangxi Shipbuilding Industry Association","No.73 Qianjian Road, Wuzhou,Guangxi,China","广西梧州市钱鉴路73号","","5207","","543004","semmp@wzxi.wzptt.gx.cn","0774一5824021一3205","0774-5827016"
"20879","大连金船实业总公司","5020","DALIAN JINCHUAN INDUSTRY & COMMERCIAL COMPANY","NO.1 YANHAI STREET,XIGANG  DISTRICT","西岗区沿海街1号","www.dljinchuan.com","5228","船用卫生单元，大件货物运输，船舶机电设备安装调试，大型钢结构制造安装等。","116005","jinchuan@online.ln.cn","0411-82809262","0411-82633706"
"20880","广西造船工程学会","5034","Guangxi Society of Naval Architects&Marine Enginee","No. 24 Tiantao Road, Nanning, Guangxi,China","广西南宁市天桃路24号","","5207","组织开展学术交流活动;开展科技咨询，提出咨询建议和提供技术服务;受托进行科技项目论证和成果鉴定;普及船舶科技知识;推广先进生产技术和科学管理经验;开展继续教育;出版相关技术杂志和刊物。","530022","gxx@csname.org.cn","0771一2803612","0771一2802340"
"20881","西安市造船工程学会","5020","Xian Society of Naval Architects&Marine Engineers","Nn. 18 Gaoxin 1st Road,Gaoxin West District,Xi'an,Shanxi,China","陕西省西安市高新西区高新一路18号","","5221","组织开展学术交流活动;开展科技咨询，提出咨询建议和提供技术服务;受托进行科技项目论证和成果鉴定;普及船舶科技知识;推广先进生产技术和科学管理经验;开展继续教育;出版相关技术杂志和刊物。","710075","xax@caname.org.cn","029-88327203","029-88223445"
"20882","中国船舶报社","5035","China Ship News","No.5 Yuetan Beijie,Xicheng District,Beijing, China","北京市西城区月坛北街5号","www.chinashipnews.com.cn","5213","出版发行《中国船舶报》及《船舶经济贸易》、《海事大观》杂志，刊登各类广告需售书刊等。","100861","news@chinashipnews.com.cn","010一68035428","010一68055652"
"20883","中国船舶报社上海工作部","5035","China Ship News Shanghai Office","Rm. 2205 , No. 2789 Pudong Ave. , Shanghai,China","上海市浦东大道2789号2205室","","5205","","200129","sh@chinashipnews.com.cn","021一58460624","021一58461224"
"20884","《中国船东》编辑部","5035","China Shipowners","No.6 Chang'an Ave. (E),Beijing,China","北京市东长安街6号","www.csoa.cn","5213","","100740","csoa@moc.gov.cn","010一65212474","010一65283266"
"20885","《中国船检》杂志社","5035","China Ship Survey","CCS Mansion, N.o9 Dongzhimen  Ave.( S ) , Beijing, China","北京市东直门南大街9号船检大厦","ccsinfo@ccs.org.cn","5213","","100007","","010一58112210","010一58112902"
"20886","《中国船用产品指南》编辑部","5035","China  Marine Products Directory","No. 40 Donghuangchenggen St. ( S ) , Beijing,China","北京市东黄城根南街40号","","5213","","100006","","010一65286171","010一65231521"
"20887","《中国海洋产业——船舶》编辑部","5035","The Chinese Ocean Industry一Ships","No. 3 Building 6 Zone,No. 188 South Four Road( W) , Fengtai District , Beijing, China","北京市丰台区南四环西路188号总部基地6区3号楼","www.coi.com.cn","5213","","100070","zghycy@126.com","010一63701312","010一63701312"
"20888","《中国航务周刊》杂志社","5035","China Shipping Gazette","No. 6 Building, No. 30 Xiaguangli, Xianyun Road,Chaoyang District,China","北京市朝阳区霄云路霞光里30号院6号楼","","5213","","100027","","010一64653113","010一64610196"
"20889","《中国军转民》杂志社","5035","Defence Industry Conversion in China","7/F Xinshidai Building, No. 7 Huayuan Road,Haidian District,Beijing.China","北京市海淀区花园路7号新时代大厦7层","www.capumit.org.cn","5213","","100088","admin@capumit.org.cn","010一82803859","010一82803859"
"20890","大连锦达数据技术发展有限公司","5020","DALIAN GIMDA DATA TECHNOLOGY DEVELOPMENT CO.,LTD","NO.2-5 XUEZI STREET,QIXIANLING,HIGH TECHNOLOGY INDUSTRIAL BASE","高新园区七贤岭学子街2-5号","","5228","船舶航行数据记录仪的研发生产。","116023","gimda@163.com","0411-84753068","0411-84753322"
"20891","《中国渔检》编辑部","5035","China Fishing Vessel Survey","No.22 Building,Maizidian Street,Chaoyang District, Beijing China","北京市朝阳区麦子店街22号楼","","5213","","100026","bofvimoa@public.east.cn.net","010一64194360","010一64194368"
"20892","《中国远洋航务公告》杂志社","5035","China Ocean Shipping Monthly","Rm.812 Xingfu Tower (A),No.3 Sanhuan Road(E-N),Chaoyang District,Beijing,China","北京市朝阳区东三环北路3号幸根大厦A座812室","www.maritime-china,com","5213","","100027","macn@vip.sohu.com","010一64616150","010一64616131"
"20893","《船舶标准化与质量》编辑部","5035","Shipbuilding Standardization&Quality","No. 70 Xueyuan Hoad ( S)，Haidian Distric,Beijing,China","北京市海淀区学院南路70号","www.shipstd.com.cn","5213","","100081","csscbzs@public.bta.net.cn","010-62181130","010-62185021"
"20894","《船艇》编辑部","5035","Ships and Yachts","No.70 Xueyuan Road(S),Haidian District,Beijing,China","北京市海淀区学院南路70号","www.chineseboating.com.cn","5213","","100081","webmaster@chineseboating.com.cn","010一62177744","010一62180871"
"20895","《船舶经济贸易》编辑部","5035","Ship Econamy&Trade","No.5 Yuetan Beijie,Xicheng District,Beijing, China","北京市西城区月坛北街5号","","5213","","100861","news@csn.sina.net","010一68039202","010一68055652"
"20896","《船界商情》编辑部","5035","Maritime Commercial Information","Rm.308~309 Zonghe Building,No.46 Dongsi street(W),Dongcheng District,Beijing,China","北京市东城区东四西大街46号综合楼308~309室","","5213","","100711","cjsq@vip.163.com","010一65276701","010一65129928"
"20897","《当代海军》杂志社","5035","Dangdai Haijun","No.19-27,Sanhuan Road(W-M),Beijing,China","北京市西三环中路19号一27","","5213","","100841","","010-88381257",""
"20898","《国防科技工业》编辑部","5035","Defence Science&Technology Imdnstry","No. A2 Guang'anmen Street ( S )，Xuanwu District, Beijing, China","北京市宣武区广安门南街甲2号","","5213","","100053","gfkjgy@btamail.net.cn","010一83983091","010一83983090"
"20899","《国际船艇》编辑部","5035","World Ships&boats","No. 70  Xueyuan Road ( S )，Haidian  District, Beijing, China","北京市海淀区学院南路70号","","5213","","100081","gjct@mail.csscinfo.com.cn","010-62180737","010-62182171"
"20900","《海事大观》编辑部","5035","Maritime Spectacle","No.5 Yuetan Beijie,Xicheng District,Beijing,China","北京市西城区月坛北街5号","","5213","","100861","news@csn.sina.net","010一68055653","010一68055652"
"20901","大连金海圣船用制品有限公司","5020","DALIAN JINHAISHENG MARINE PRODUCTS CO.,LTD","SANJIANPU,LVSHUNKOU  DISTRICT","旅顺口区三涧堡街道","","5228","船用舱室复合岩棉板，防火门，防火窗，驾驶室移门，冷库及冷库门，家具，水密气密防火门，隔音门，卫生单元，轻质板，窗板，构架件等。","116043","","0411-86268855","0411-86268368"
"20902","《海洋世界》杂志社","5035","The Sea World","No.8 Dahuisi Road,Haidian District,Beijing,China","北京市海淀区大慧寺路8号","","5213","","100081","","010一62114475",""
"20903","《航运交易公报》编辑部北京分部","5035","Shipping Exchange  Bulletin, Beijing Branch","Rm.401 Workbuilding,No.2 Deshengmenwai Ave.,Xicheng District,Beijing,China","北京市西城区德胜门外大街2号办公大楼401室","www.sse.net.cn,www.chineseshipping.com.cn","5213","","100011","sebbj@167.net.cn","010一62026620","010一62022511"
"20904","《舰船知识》杂志社","5035","Naval&Merchant Ships","No.70 Xueyuan Road(S),Haidian District,Beijing,China","北京市海淀区学院南路70号","www.jczs.com.cn","5213","","100081","jczs@ccnet.cn.net","010-62177744",""
